City,Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Year Built,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Closed Date,Days on Market
McCall,Hoff and Brown,0.223,Yes,Yes,2,2.0,1260,51 - 80 Years,1968,Two,Unknown,Concrete Perimeter,"Fireplace, Radiant",PLSWD,Public,505000.0,11/17/2023,79
Donnelly,Wagon Wheel Ranch 4,0.476,No,Yes,2,2.0,1212,11 - 20 Years,2004,Unknown,Four,Concrete Perimeter,Radiant,NLSD,Well,533000.0,10/3/2023,33
McCall,Running Horse,0.06,Yes,Yes,4,3.0,2299,New-Never Occupied,2022,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",PLSWD,Public,1843250.0,1/26/2024,147
Donnelly,Tamarack Resort Phase 1,0.13,Yes,Yes,3,3.0,1818,6 - 10 Years,2004,One,Unknown,Concrete Perimeter,"Fireplace, Gas Forced Air",NLSD,NLSD,1620000.0,9/6/2023,42
McCall,Blackhawk on the River 2,0.574,Yes,Yes,3,4.0,3616,New-Never Occupied,2023,Three,Unknown,Concrete Perimeter,Propane Forced Air,Community,Community,1650000.0,4/30/2024,233
McCall,Evergreen Terrace 1,0.225,Yes,Yes,1,1.0,552,31 - 50 Years,1980,Unknown,Unknown,Concrete Perimeter,"Elec Baseboard, Wood Stove",PLSWD,Public,347000.0,10/12/2023,25
Donnelly,Ora May,0.8,No,Yes,3,2.0,960,1 - 5 Years,2019,Unknown,Unknown,Concrete Perimeter,Elec Forced Air,City,Well,475000.0,2/28/2024,164
McCall,Spring Mountain Ranch 1,0.36,Yes,Yes,4,3.5,3262,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,"Fireplace, Fireplace Insert, Propane Forced Air",PLSWD,Public,1725000.0,10/27/2023,40
McCall,McCall Acreage,0.114,No,Yes,2,1.0,980,31 - 50 Years,1980,Unknown,Unknown,Concrete Perimeter,"Wall Heater, Wood Stove",City,Public,430000.0,4/12/2024,205
Donnelly,Wagon Wheel Ranch 1,0.481,No,Yes,3,2.0,1344,21 - 30 Years,1999,Two,One,Unknown,"Elec Baseboard, Elec Forced Air, Wood Stove",City,Well,590000.0,10/18/2023,27
McCall,Falcon Point,2.04,Yes,Yes,3,3.5,2650,New-Never Occupied,2022,Five or More,Unknown,Unknown,Unknown,Septic Installed,Well,900000.0,1/16/2024,117
McCall,19th Hole Estates,0.191,No,Yes,3,2.0,1536,31 - 50 Years,1990,Two,Unknown,Concrete Perimeter,Elec Baseboard,City,Public,715000.0,8/4/2023,32
Donnelly,Crane Shores,0.334,Yes,Yes,5,4.0,2548,1 - 5 Years,2021,Three,Unknown,Concrete Perimeter,Elec Forced Air,NLSD,NLSD,950000.0,3/4/2024,161
McCall,Blackhawk on the River 1,0.633,Yes,Yes,4,3.5,3144,New-Never Occupied,2023,Three,Unknown,Unknown,"Elec Forced Air, Fireplace Insert",City,Community,1845000.0,10/23/2023,26
Donnelly,Whistler's Cove,0.346,No,Yes,4,3.5,2570,New-Never Occupied,2023,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",City,Well,920000.0,2/29/2024,154
McCall,Valley View 1,1.03,Yes,Yes,3,2.0,1810,21 - 30 Years,1994,One,Two,Concrete Perimeter,"Pellet Stove, Wall Heater",Septic Installed,Well,699000.0,10/31/2023,32
McCall,Unknown,9.7,Yes,Yes,5,3.5,4150,21 - 30 Years,1998,Five or More,One,Concrete Perimeter,"Elec Baseboard, Fireplace, Propane, Propane Forced Air, Radiant",Septic Installed,Well,1600000.0,12/15/2023,73
Donnelly,Tamarack Resort Phase 1,0.0666,Yes,Yes,2,2.5,1250,11 - 20 Years,2004,One,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",NLSD,NLSD,1275000.0,3/12/2024,159
McCall,Blackhawk Lake Estates 1,1.967,Yes,Yes,3,3.0,2711,6 - 10 Years,2015,Two,Unknown,"Concrete Perimeter, Slab","Propane Fire Place, Radiant",Septic Installed,Well,1350000.0,11/21/2023,47
McCall,Pinecrest Add.,0.34,Yes,Yes,2,1.0,854,51 - 80 Years,1949,Unknown,Unknown,Block,"Fireplace, Wall Heater",PLSWD,Well,150000.0,1/31/2024,115
McCall,Rio Vista 4,0.272,Yes,Yes,4,3.0,2336,51 - 80 Years,1978,Two,Unknown,"Concrete Perimeter, Slab","Elec Baseboard, Propane",PLSWD,Public,695000.0,3/8/2024,148
Donnelly,Wagon Wheel Ranch 3,0.593,No,Yes,3,2.0,1188,1 - 5 Years,2018,Unknown,Unknown,Concrete Perimeter,"Elec Forced Air, Wood Stove",NLSD,Well,399000.0,5/2/2024,203
McCall,White Cloud 2,1.76,Yes,Yes,4,2.0,2065,< 1 Year,2023,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",Septic Installed,Well,1050000.0,1/8/2024,85
McCall,Blackhawk Ranch 3,1.13,No,Yes,3,3.0,2450,11 - 20 Years,2005,Two,One,Concrete Perimeter,"Gas Forced Air, Propane Fire Place",Septic Installed,Well,1190000.0,12/14/2023,59
McCall,Jasper,0.44,No,Yes,4,3.0,2286,31 - 50 Years,1975,Two,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Fire Place",City,Public,1495000.0,11/28/2023,37
McCall,Running Horse,0.06,Yes,Yes,4,3.0,2299,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",PLSWD,Public,1775000.0,12/29/2023,67
Donnelly,Roseberry Ranches,2.97,No,Yes,3,2.0,2380,1 - 5 Years,2019,Three,Unknown,Concrete Perimeter,"Heat Pump, Pellet Stove, Propane Forced Air",Septic Installed,Well,790000.0,12/15/2023,52
McCall,Long View Acres,2.3,No,Yes,3,2.0,1356,21 - 30 Years,1994,One,Unknown,Unknown,Propane Forced Air,Septic Installed,Well,469000.0,11/3/2023,34
McCall,Valley View 3,0.97,Yes,Yes,3,2.0,2072,11 - 20 Years,2004,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Wood Stove",Septic Installed,Well,840000.0,2/14/2024,104
McCall,Unknown,20.9,Yes,Yes,3,2.5,3107,11 - 20 Years,2005,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Heat Pump, Wood Stove",Septic Installed,Well,1928000.0,3/6/2024,124
Donnelly,Donnelly City of,0.24,No,Yes,3,3.0,924,81+ Years,1919,Unknown,Unknown,"Concrete Perimeter, Other",Elec Forced Air,City,Public,340000.0,1/16/2024,71
Donnelly,Tamarack Resort Phase 1,0.0689,Yes,Yes,2,2.5,1250,11 - 20 Years,2004,One,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",NLSD,NLSD,1250000.0,3/28/2024,142
Donnelly,Hawks Bay 2,0.46,Yes,Yes,4,3.5,2800,1 - 5 Years,2021,Two,Unknown,Concrete Perimeter,Elec Forced Air,NLSD,Community,1100000.0,2/16/2024,101
McCall,Evergreen Terrace 2,0.256,Yes,Yes,3,2.0,1174,31 - 50 Years,1982,One,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Fire Place",City,Public,648500.0,1/5/2024,53
McCall,Fox Ridge,0.507,Yes,Yes,3,2.0,1500,1 - 5 Years,2019,Two,Unknown,Concrete Perimeter,"Fireplace, Gas Forced Air",City,Public,700000.0,12/22/2023,37
Donnelly,Meadows at West Mountain 2,0.1837,Yes,Yes,3,2.0,1760,11 - 20 Years,2006,Two,Unknown,Concrete Perimeter,Elec Forced Air,Community,Community,460000.0,5/7/2024,170
McCall,Lick Creek Meadows Phase 1,0.22,Yes,Yes,4,4.0,2904,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,"Fireplace Insert, Heat Pump, Propane Forced Air",PLSWD,Public,1150000.0,1/12/2024,52
Donnelly,Hawks Bay 2,0.416,Yes,Yes,5,3.0,3056,Under Construction,2024,Three,Unknown,Concrete Perimeter,"Propane, Propane Forced Air, Wood Stove",NLSD,NLSD,935000.0,2/29/2024,91
McCall,Evergreen Terrace 2,0.2045,Yes,Yes,3,2.0,1206,21 - 30 Years,1992,One,Unknown,Concrete Perimeter,"Elec Baseboard, Fireplace",PLSWD,Public,675000.0,4/11/2024,122
McCall,River's Crossing,1.147,Yes,Yes,5,7.0,4466,6 - 10 Years,2014,Five or More,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace, Fireplace Insert, Pellet Stove, Wall Heater",City,Public,1600000.0,2/20/2024,68
McCall,Village at Deer Forest,0.165,Yes,Yes,3,2.0,1533,1 - 5 Years,2019,Two,Unknown,Concrete Perimeter,Elec Forced Air,City,Public,790000.0,3/14/2024,86
McCall,Rio Vista,0.48,Yes,Yes,3,2.5,1933,1 - 5 Years,2021,Three,Unknown,"Concrete Perimeter, Slab","Heat Pump, Propane Fire Place, Propane Forced Air",Septic Installed,Public,1378000.0,5/15/2024,146
Donnelly,Wagon Wheel Ranch 5,0.46,Yes,Yes,3,2.0,2092,21 - 30 Years,1995,Unknown,Unknown,Concrete Perimeter,"Elec Forced Air, Wood Stove",NLSD,Well,695000.0,3/18/2024,74
McCall,Rio Vista 4,0.289,Yes,Yes,5,3.0,3312,31 - 50 Years,1978,Unknown,One,"Concrete Perimeter, Slab","Elec Baseboard, Fireplace Insert, Wood Stove",City,Public,830000.0,12/1/2023,78
McCall,Aspen Ridge 1,0.4,Yes,Yes,3,3.0,2260,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",City,Public,1000000.0,2/28/2024,48
McCall,Timberlost 6,0.2309,Yes,Yes,3,2.5,1820,21 - 30 Years,2003,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place, Wall Heater",City,Public,1065000.0,2/23/2024,42
Donnelly,Unknown,4.123,No,Yes,3,2.0,1960,31 - 50 Years,1992,Two,Unknown,Slab,Elec Forced Air,Septic Installed,"Spring, Well",790000.0,2/28/2024,50
Donnelly,Tamarack Resort Village Plaza Condominium,0.0,Yes,Yes,2,2.5,1305,New-Never Occupied,2023,Two,Unknown,Unknown,Unknown,NLSD,NLSD,1449000.0,1/12/2024,2
McCall,Lardo,0.17,Yes,Yes,1,1.0,384,81+ Years,1940,Unknown,Unknown,Concrete Perimeter,"Elec Baseboard, Wall Heater, Wood Stove",NLSD,Public,350000.0,4/11/2024,85
McCall,Running Horse,0.06,Yes,Yes,4,3.0,2299,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",PLSWD,Public,1924000.0,4/17/2024,91
McCall,Running Horse,0.049,Yes,Yes,3,3.0,1990,Under Construction,2024,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",PLSWD,Public,815000.0,4/11/2024,81
McCall,Jug Mountain Ranch Phase 2,0.589,Yes,Yes,3,3.5,3524,New-Never Occupied,2024,Two,Unknown,Unknown,Propane Forced Air,City,Community,1895000.0,2/29/2024,28
Donnelly,Wagon Wheel Ranch 2,0.459,Yes,Yes,3,2.0,1872,11 - 20 Years,2006,Unknown,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",NLSD,Well,589000.0,3/7/2024,32
McCall,Hoff and Brown,0.172,Yes,Yes,3,2.0,1545,51 - 80 Years,1958,Unknown,Unknown,Concrete Perimeter,"Fireplace Insert, Oil Forced Air",PLSWD,Public,639900.0,3/11/2024,33
McCall,Unknown,2.84,Yes,Yes,3,2.0,1288,51 - 80 Years,1969,Two,Unknown,Concrete Perimeter,"Elec Baseboard, Wood Stove",City,Well,735000.0,3/22/2024,42
Donnelly,Tamarack Resort Planned Unit Development Phase 3.2,0.3,Yes,Yes,4,3.5,3364,Under Construction,2024,Two,Unknown,Unknown,"Elec Forced Air, Propane Forced Air",NLSD,NLSD,Unknown,Unknown,140
McCall,Lake Fork Estates,1.74,Yes,Yes,3,2.0,1686,31 - 50 Years,1983,One,Unknown,Concrete Perimeter,"Gas Forced Air, Propane, Wall Heater, Wood Stove",Septic Installed,Well,750000.0,5/3/2024,77
McCall,Jacobs Manor,0.1326,Yes,Yes,3,2.0,1040,31 - 50 Years,1993,Unknown,Unknown,Concrete Perimeter,Propane Forced Air,PLSWD,Public,320000.0,5/1/2024,66
McCall,Blackhawk on the River 1,0.534,Yes,Yes,3,2.5,2415,< 1 Year,2023,Two,Unknown,Concrete Perimeter,Propane Forced Air,Community,Community,1235000.0,5/16/2024,76
McCall,Aspen Ridge 2,0.473,Yes,Yes,3,3.0,2811,11 - 20 Years,2013,Three,Unknown,Concrete Perimeter,"Fireplace Insert, Heat Pump, Propane, Propane Fire Place, Propane Forced Air",City,Public,Unknown,Unknown,123
McCall,Broken Ridge,0.42,Yes,Yes,3,2.5,2211,11 - 20 Years,2004,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace Insert",City,Public,804000.0,4/29/2024,40
Donnelly,Wagon Wheel Ranch 5,0.459,No,Yes,3,2.0,1404,31 - 50 Years,1984,Unknown,Unknown,Concrete Perimeter,"Propane Forced Air, Wood Stove",NLSD,Well,470000.0,5/17/2024,57
McCall,Lick Creek Meadows Phase 1,0.22,Yes,Yes,3,3.0,1967,New-Never Occupied,2024,Two,Unknown,Concrete Perimeter,"Heat Pump, Propane, Propane Fire Place, Propane Forced Air",City,Public,839000.0,5/15/2024,37
McCall,Unknown,8.89,Yes,Yes,5,4.0,4884,31 - 50 Years,1986,Three,Unknown,Slab,"Elec Forced Air, Wood Stove",Septic Installed,Well,2095000.0,5/30/2024,51
Donnelly,Wagon Wheel Ranch 1,0.4607,Yes,Yes,2,1.0,868,51 - 80 Years,1972,Unknown,Unknown,Unknown,Elec Forced Air,NLSD,Well,Unknown,Unknown,81
McCall,Spring Mountain Meadows,0.336,Yes,Yes,4,3.0,2425,1 - 5 Years,2022,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Pellet Stove",City,Public,1355000.0,5/30/2024,44
Donnelly,Donnelly Townsite,0.16,No,Yes,3,2.0,1072,1 - 5 Years,2020,One,Unknown,Concrete Perimeter,"Elec Baseboard, Mini-Splits",NLSD,Public,400000.0,5/30/2024,43
McCall,Lakeforest,0.25,Yes,Yes,2,2.0,1284,6 - 10 Years,2014,One,Unknown,Concrete Perimeter,"Propane Fire Place, Wall Heater, Wood Stove",City,Public,Unknown,Unknown,75
Donnelly,Woods on Norwood The,1.13,Yes,Yes,3,2.0,1698,< 1 Year,2021,Two,Unknown,Unknown,Propane Forced Air,City,Well,895000.0,5/10/2024,22
Donnelly,Meadows at West Mountain 1,0.19,Yes,Yes,3,2.0,1322,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Mini-Splits",NLSD,NLSD,399000.0,5/10/2024,22
Donnelly,CR 4,1.7,No,Yes,1,1.0,600,51 - 80 Years,1964,Unknown,Unknown,Other,Unknown,Needs Approval,Needs Water,315000.0,5/30/2024,36
Donnelly,Smiling Julie,0.3114,No,Yes,2,1.0,1008,21 - 30 Years,1997,Unknown,Unknown,Concrete Perimeter,"Elec Baseboard, Wall Heater, Wood Stove",NLSD,Spring,419700.0,6/18/2024,50
McCall,Aspen Ridge 1,0.33,Yes,Yes,3,2.5,2440,11 - 20 Years,2006,Two,Unknown,Concrete Perimeter,"Propane Fire Place, Wall Heater",PLSWD,Public,Unknown,Unknown,61
McCall,Lick Creek Meadows Phase 2,0.22,Yes,Yes,3,2.0,1580,1 - 5 Years,2021,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace Insert",City,Public,865000.0,5/30/2024,24
McCall,Pine Terrace 2,0.64,Yes,Yes,3,2.0,1320,11 - 20 Years,2003,Two,One,Concrete Perimeter,"Elec Forced Air, Pellet Stove, Propane, Propane Fire Place",Septic Installed,Community,Unknown,Unknown,56
Donnelly,Wagon Wheel Ranch 1,0.78,Yes,Yes,3,3.0,3617,21 - 30 Years,1999,Two,Two,Concrete Perimeter,"Elec Baseboard, Fireplace, Fireplace Insert, Gas Forced Air, Propane Fire Place, Propane Forced Air, Wood Stove",NLSD,Well,930000.0,6/10/2024,33
McCall,West Place,3.0,No,Yes,4,3.0,2880,11 - 20 Years,2004,Two,Three,Concrete Perimeter,"Gas Forced Air, Propane Fire Place, Propane Forced Air, Radiant, Wall Heater, Wood Stove",Septic Installed,Well,1124000.0,6/14/2024,37
Donnelly,Meadows at West Mountain 1,0.1837,Yes,Yes,3,2.0,1430,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,Elec Forced Air,Community,Community,440000.0,6/20/2024,43
McCall,Shore Lodge Cottages,0.15,Yes,Yes,2,2.5,1953,1 - 5 Years,2020,One,Unknown,Slab,"Propane, Propane Fire Place, Propane Forced Air",PLSWD,Public,1750000.0,6/24/2024,41
McCall,Hoff and Brown,0.182,Yes,Yes,3,2.0,1438,51 - 80 Years,1956,Unknown,Two,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",City,Public,Unknown,Unknown,49
Donnelly,Fir Grove Estates,0.503,No,Yes,3,2.0,1690,11 - 20 Years,2006,Two,Unknown,Concrete Perimeter,"Pellet Stove, Propane Forced Air",City,Public,Unknown,Unknown,54
McCall,Lakeforest,0.19,Yes,Yes,3,2.0,1150,11 - 20 Years,2003,Two,Unknown,"Concrete Perimeter, Slab","Elec Forced Air, Pellet Stove",City,Public,590000.0,6/21/2024,37
McCall,Evergreen Terrace 1,0.26,Yes,Yes,3,2.0,1500,21 - 30 Years,2001,Unknown,Unknown,Unknown,"Elec Forced Air, Propane",City,Public,554000.0,6/20/2024,35
Donnelly,Windsong,0.48,No,Yes,3,1.0,1324,21 - 30 Years,2001,Unknown,Unknown,Concrete Perimeter,"Fireplace, Wall Heater",NLSD,Community,Unknown,Unknown,47
McCall,Spring Mountain Ranch 1,0.45,Yes,Yes,4,3.0,2060,21 - 30 Years,1995,Two,Unknown,Concrete Perimeter,"Fireplace, Propane Forced Air",City,Public,935000.0,6/28/2024,39
McCall,Unknown,0.5112,No,Yes,3,2.5,1772,31 - 50 Years,1981,Two,One,Concrete Perimeter,"Elec Baseboard, Propane Fire Place",City,Public,816000.0,3/13/2024,1
McCall,Spring Mountain Meadows,0.26,Yes,Yes,3,3.0,2156,6 - 10 Years,2015,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",PLSWD,Public,Unknown,Unknown,40
Donnelly,Big Smokey 1,0.2867,Yes,Yes,1,1.0,0,Under Construction,2021,One,One,Concrete Perimeter,Other,NLSD,Well,Unknown,Unknown,40
McCall,Pine Terrace 1,1.953,No,Yes,1,1.0,612,21 - 30 Years,2002,Five or More,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Forced Air, Wall Heater",Septic Installed,Well,Unknown,Unknown,35
Donnelly,Hillhouse,1.0168,No,Yes,1,1.0,548,6 - 10 Years,2018,Unknown,One,Concrete Perimeter,"Elec Forced Air, Wood Stove",City,Well,425000.0,6/21/2024,23
McCall,Homestead Estates,20.02,Yes,Yes,3,3.0,2960,21 - 30 Years,1996,Three,Unknown,Concrete Perimeter,"Elec Baseboard, Fireplace Insert, Propane Fire Place, Wood Stove",Septic Installed,Well,Unknown,Unknown,33
McCall,Spring Mountain Ranch 3,0.31,Yes,Yes,3,2.0,1596,6 - 10 Years,2014,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",City,Public,Unknown,Unknown,33
Donnelly,Wagon Wheel Ranch 5,0.49,No,Yes,3,2.0,1370,< 1 Year,2023,Unknown,Unknown,"Pillar/Post/Pier, Slab","Elec Forced Air, Fireplace Insert",City,Well,Unknown,Unknown,30
McCall,Lake Fork Landing,1.9,No,Yes,4,3.0,3021,New-Never Occupied,2023,Four,Unknown,Unknown,Unknown,Septic Approved,Artesian Well,1400000.0,10/24/2023,2
McCall,Geelan Addition,0.73,Yes,Yes,2,2.0,1072,31 - 50 Years,1991,One,Unknown,Concrete Perimeter,"Elec Baseboard, Pellet Stove, Wall Heater",City,Public,Unknown,Unknown,25
McCall,Blackhawk on the River 1,0.81,Yes,Yes,4,4.5,3394,Under Construction,2024,Three,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",Community,Community,Unknown,Unknown,23
McCall,Kings Pines 3,2.24,Yes,Yes,4,6.0,5072,11 - 20 Years,2008,Five or More,Unknown,Concrete Perimeter,"Fireplace, Propane, Propane Fire Place, Radiant",Septic Installed,Community,Unknown,Unknown,21
McCall,Ashbrook Condos,0.0,Yes,Yes,2,1.0,703,31 - 50 Years,1984,Unknown,Unknown,Concrete Perimeter,Elec Baseboard,PLSWD,Public,412900.0,6/27/2024,15
McCall,Jug Mountain Ranch Phase 1 Stage 2,0.645,Yes,Yes,4,2.0,2286,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",Community,Community,Unknown,Unknown,21
Donnelly,Wagon Wheel Ranch 5,0.4622,No,Yes,2,1.0,968,31 - 50 Years,1989,One,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Fire Place",NLSD,Well,Unknown,Unknown,12
McCall,Unknown,0.27,Yes,Yes,3,1.5,1200,51 - 80 Years,1973,Unknown,Two,Concrete Perimeter,"Elec Baseboard, Propane Fire Place, Wood Stove",City,Public,Unknown,Unknown,9
McCall,Evergreen Terrace 3,0.2137,Yes,Yes,3,2.0,1708,31 - 50 Years,1992,One,Unknown,Concrete Perimeter,"Elec Baseboard, Pellet Stove",PLSWD,Public,740000.0,6/26/2024,17
